dobrý den, hello, helou
ahoj, hi, haj
nashledanou, goodbye, gudbaj
dobrý, good, gud
ráno, morning, mórning
odpoledne, afternoon, áftrnún
večer, evening, ívning
noc, night, najt
děkuji, thank you, senk jú
třicet, thirty, sérty
čtyřicet, forty, fórty
čaj, tea, tý
káva, coffee, kofy
soukromí, privacy, prajvesy
potřebuji, need, nýd
pán prstenů, lord of the rings, lórd of de rings
prsten, ring, ring
náhrdelník, necklace, nekles
krk, neck, nek
náušnice, earrings, írings
ucho, ear, ír
hodinky, watches, wočes
náramek, bracelet, brejslet
zlato, sweetheart, svíthárt
srdce, heart, hárt
